,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
3197778,1674104547342,2023-01-19 05:02:27,20816.2,48.096,20816.1,2.782,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,2.076,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.3,0.03
3197779,1674104547592,2023-01-19 05:02:27,20816.2,49.806,20816.1,2.782,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,1.732,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.3,0.006
3197780,1674104547842,2023-01-19 05:02:27,20816.2,49.976,20816.1,2.782,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,1.763,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197781,1674104548092,2023-01-19 05:02:28,20816.2,50.375,20816.1,2.782,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,1.708,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197782,1674104548342,2023-01-19 05:02:28,20816.2,51.198,20816.1,2.77,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,1.708,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197783,1674104548593,2023-01-19 05:02:28,20816.2,50.623,20816.1,2.77,20816.0,1.234,20815.9,3.207,20815.8,4.965,20815.7,0.068,20815.6,8.033,20815.5,1.863,20815.4,3.108,20815.3,2.539,20816.3,1.708,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197784,1674104548843,2023-01-19 05:02:28,20816.2,50.625,20816.1,2.77,20816.0,1.234,20815.9,3.207,20815.8,4.645,20815.7,0.068,20815.6,7.713,20815.5,1.863,20815.4,3.108,20815.3,2.217,20816.3,1.872,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197785,1674104549093,2023-01-19 05:02:29,20816.2,50.746,20816.1,2.77,20816.0,1.234,20815.9,3.207,20815.8,4.645,20815.7,0.068,20815.6,7.713,20815.5,1.863,20815.4,3.108,20815.3,2.217,20816.3,1.684,20816.4,0.578,20816.5,1.68,20816.6,0.614,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197786,1674104549343,2023-01-19 05:02:29,20816.2,50.745,20816.1,2.77,20816.0,1.234,20815.9,3.207,20815.8,4.645,20815.7,0.068,20815.6,7.713,20815.5,1.863,20815.4,3.108,20815.3,2.212,20816.3,1.35,20816.4,0.002,20816.5,1.68,20816.6,0.029,20816.8,0.004,20816.9,0.228,20817.0,0.722,20817.1,1.084,20817.2,0.832,20817.4,0.002
3197787,1674104549594,2023-01-19 05:02:29,20816.5,48.081,20816.4,25.023,20816.3,13.555,20816.2,4.213,20816.1,4.458,20816.0,3.071,20815.9,0.001,20815.8,4.684,20815.7,0.139,20815.6,9.96,20816.6,0.036,20816.8,0.004,20816.9,0.042,20817.0,0.722,20817.1,0.001,20817.2,0.001,20817.4,0.002,20817.5,0.468,20817.6,1.83,20817.9,0.001
